t	x	y
1.609573E1	-1.552801E2	1.647626E2
1.612906E1	-1.814841E2	1.305574E2
1.616239E1	-1.921992E2	9.682163E1
1.619571E1	-2.024318E2	5.872363E1
1.622903E1	-2.085856E2	1.866563E1
1.626236E1	-2.042677E2	-1.659992E1
1.629568E1	-1.852912E2	-4.753171E1
1.632901E1	-1.634588E2	-7.747249E1
1.636233E1	-1.368859E2	-1.003581E2
1.639566E1	-1.047450E2	-1.175003E2
1.642898E1	-6.897314E1	-1.283782E2
1.646230E1	-3.120823E1	-1.330757E2
1.649563E1	1.239277E1	-1.294738E2
1.652896E1	5.498303E1	-1.195113E2
1.656228E1	9.843114E1	-1.032408E2
1.659560E1	1.369738E2	-8.172162E1
1.662892E1	1.762897E2	-5.313785E1
1.666226E1	2.084234E2	-2.128909E1
1.669558E1	2.342477E2	1.252007E1
1.672890E1	2.509408E2	4.675048E1
1.676222E1	2.648079E2	8.616983E1
1.679554E1	2.701741E2	1.227489E2
1.682888E1	2.688030E2	1.563741E2
1.686220E1	2.582888E2	1.898983E2
1.689552E1	2.441635E2	2.206107E2
1.692884E1	2.250635E2	2.465345E2
1.696217E1	1.983118E2	2.683176E2
1.699550E1	1.611882E2	2.807508E2
1.702882E1	1.114889E2	2.832790E2
1.706214E1	8.123726E1	2.876861E2
1.709547E1	3.822164E1	2.815632E2
1.712880E1	-1.604514E1	2.668317E2
1.716212E1	-4.333523E1	2.526847E2
1.719544E1	-9.720012E1	2.204034E2
1.722877E1	-1.256946E2	1.924239E2
1.726209E1	-1.590553E2	1.545061E2
1.729542E1	-1.802590E2	1.205527E2
1.732874E1	-1.956049E2	8.427638E1
1.736207E1	-2.091300E2	4.050106E1
1.739539E1	-2.056393E2	8.513187E0
1.742871E1	-1.960982E2	-2.544699E1
1.746204E1	-1.816448E2	-5.770256E1
1.749537E1	-1.621282E2	-8.474545E1
1.752869E1	-1.331482E2	-1.065689E2
1.756201E1	-9.731824E1	-1.214708E2
1.759533E1	-6.541553E1	-1.315517E2
1.762867E1	-2.613753E1	-1.356014E2
1.766199E1	1.693172E1	-1.295491E2
1.769531E1	5.364138E1	-1.194031E2
1.772863E1	9.368315E1	-1.024901E2
1.776196E1	1.412983E2	-7.532656E1
1.779529E1	1.759652E2	-4.752099E1
1.782861E1	2.070154E2	-1.540889E1
1.786193E1	2.273645E2	1.854461E1
1.789526E1	2.513687E2	5.865655E1
1.792858E1	2.575101E2	9.147008E1
1.796191E1	2.675765E2	1.305237E2
1.799523E1	2.533866E2	1.575547E2
1.802856E1	2.545039E2	1.987728E2
1.806188E1	2.222908E2	2.189282E2
1.809520E1	2.148893E2	2.505774E2
1.812853E1	1.767732E2	2.646581E2
1.816186E1	1.485057E2	2.808018E2
1.819518E1	1.025828E2	2.829221E2
1.822850E1	6.184617E1	2.829334E2
1.826183E1	2.102660E1	2.763201E2
1.829516E1	-2.421553E1	2.629174E2
1.832848E1	-5.732812E1	2.441454E2
1.836180E1	-1.048738E2	2.143232E2
1.839512E1	-1.286297E2	1.857624E2
1.842846E1	-1.589118E2	1.487995E2
1.846178E1	-1.705628E2	1.184264E2
1.849510E1	-1.868654E2	7.894784E1
1.852842E1	-1.966259E2	3.882969E1
1.856174E1	-1.984641E2	8.027211E-1
1.859508E1	-1.910400E2	-3.520243E1
1.862840E1	-1.725985E2	-6.343930E1
1.866172E1	-1.530262E2	-9.145791E1
1.869504E1	-1.216660E2	-1.111855E2
1.872837E1	-9.145400E1	-1.255299E2
1.876170E1	-5.918819E1	-1.335644E2
1.879502E1	-1.354242E1	-1.333270E2
1.882834E1	2.765058E1	-1.273917E2
1.886167E1	6.660442E1	-1.138919E2
1.889499E1	1.098407E2	-9.335392E1
1.892832E1	1.502143E2	-6.909940E1
1.896164E1	1.803804E2	-3.958081E1
1.899497E1	2.111284E2	-5.268871E0
1.902829E1	2.329712E2	2.850257E1
1.906161E1	2.521788E2	6.671291E1
1.909494E1	2.589365E2	1.023196E2
1.912827E1	2.644525E2	1.404407E2
1.916159E1	2.605433E2	1.757023E2
1.919491E1	2.485670E2	2.058916E2
1.922823E1	2.301641E2	2.328329E2
1.926157E1	2.088635E2	2.583543E2
1.929489E1	1.605782E2	2.676127E2
1.932821E1	1.421413E2	2.848209E2
1.936153E1	1.080355E2	2.925361E2
1.939486E1	5.920570E1	2.850555E2
1.942819E1	1.799516E1	2.762374E2
1.946151E1	-2.750094E1	2.601029E2
1.949483E1	-6.350164E1	2.382893E2
1.952816E1	-9.565276E1	2.126478E2
1.956148E1	-1.345779E2	1.744981E2
1.959481E1	-1.612820E2	1.386655E2
1.962813E1	-1.783960E2	1.046733E2
1.966146E1	-1.876533E2	6.856159E1
1.969478E1	-1.951529E2	2.875408E1
1.972811E1	-1.947812E2	-9.262117E0
1.976143E1	-1.897037E2	-4.561162E1
1.979476E1	-1.688274E2	-7.177479E1
1.982808E1	-1.473542E2	-9.935019E1
1.986140E1	-1.165740E2	-1.157533E2
1.989473E1	-8.179986E1	-1.290896E2
1.992806E1	-4.472913E1	-1.349571E2
1.996138E1	-1.121402E1	-1.352566E2
1.999470E1	3.171567E1	-1.252671E2
2.002802E1	7.200923E1	-1.113516E2
2.006136E1	1.080087E2	-9.127514E1
2.009468E1	1.529424E2	-6.363346E1
2.012800E1	1.896197E2	-3.127900E1
2.016132E1	2.134545E2	2.800407E0
2.019464E1	2.352683E2	3.871720E1
2.022798E1	2.513232E2	7.472659E1
2.026130E1	2.433184E2	1.057757E2
2.029462E1	2.454966E2	1.394735E2
2.032794E1	2.346330E2	1.711766E2
2.036127E1	2.263705E2	2.045525E2
2.039460E1	2.003698E2	2.336893E2
2.042792E1	1.841179E2	2.543819E2
2.046124E1	1.537216E2	2.706020E2
2.049457E1	1.202874E2	2.814196E2
2.052789E1	7.963968E1	2.830458E2
2.056122E1	3.989651E1	2.810928E2
2.059454E1	6.053662E0	2.731733E2
2.062787E1	-4.000198E1	2.527753E2
2.066119E1	-7.204485E1	2.308633E2
2.069451E1	-1.104895E2	1.987731E2
2.072784E1	-1.402514E2	1.643925E2
2.076117E1	-1.671719E2	1.250949E2
2.079449E1	-1.848010E2	8.867318E1
2.082781E1	-1.872634E2	5.871896E1
2.086114E1	-1.900338E2	2.027530E1
2.089447E1	-1.880997E2	-1.683693E1
2.092779E1	-1.799642E2	-5.150433E1
2.096111E1	-1.552473E2	-7.772165E1
2.099443E1	-1.341865E2	-1.014601E2
2.102776E1	-1.084204E2	-1.201650E2
2.106109E1	-7.352444E1	-1.300245E2
2.109441E1	-3.359834E1	-1.350347E2
2.112773E1	-1.459821E0	-1.333115E2
2.116106E1	3.690966E1	-1.237786E2
2.119439E1	8.366047E1	-1.053990E2
2.122771E1	1.212996E2	-8.314865E1
